date,nifty50,nifty100,niftyit,niftybank,niftyenergy
2021-06-04,,,,,
2021-06-07,0.0051945814919991395,0.004562315698577013,0.011071717544704374,0.004307018041947108,0.0184552975410901
2021-06-08,-0.0007333060957773752,-8.736182292001793e-05,0.012022076262293568,-0.010110355807685045,5.0654831388108335e-05
2021-06-09,-0.006654976944212576,-0.007020589987094539,-0.0030698448023691594,-0.00811747576998778,-0.003653930163894925
2021-06-10,0.0065492869160790335,0.007340574356717422,0.00940484403936237,0.009502713264960772,0.0021094945207382754
2021-06-11,0.003914130633349666,0.0036263526745310415,0.015091013741995729,-0.0023852830305325368,0.004074699428210593
2021-06-14,0.0007911718082738162,6.25550013322318e-06,0.0034233936165499745,-0.0027619167568543324,0.005072798451864813
2021-06-15,0.003630213545097627,0.00354174484727654,0.0022515284215109954,0.008501941937466784,-0.0001243671617620068
2021-06-16,-0.006408632752808119,-0.006884984383255022,0.0025019513802957416,-0.006929490135503369,-0.006064564397728733
2021-06-17,-0.0048295020472909345,-0.005575447361491737,0.0057120060118862614,-0.011373213439169194,-0.01005372813254668
2021-06-18,-0.000513069646403852,-0.0012958164664041982,-0.005793155592551558,-0.0013696992587888257,-0.0194656218848015
2021-06-21,0.004026588209654625,0.004756366964476788,-0.002763155301851894,0.00906593328958838,0.013652948885468641
2021-06-22,0.0016670371193598932,0.002232483096224591,0.005518764100891804,-0.003621842132177533,0.00251963110643616
2021-06-23,-0.005439749231269109,-0.0058526296983772985,-0.009292348743068501,-0.0049216284411122135,-0.006707784820164986
2021-06-24,0.006597840798329813,0.004920521813980283,0.027938496381619604,0.0073176097051117495,-0.013491580189190722
2021-06-25,0.0044266891189239654,0.004724738800915729,0.005595937112709892,0.015437758142798463,-0.005871743397304119
2021-06-28,-0.0028782098242977616,-0.001989159058847556,-0.004861257189684665,-0.00014701910751335756,-0.0051375442292010964
2021-06-29,-0.0041891404314852165,-0.0039302272889704115,-0.002831265372303493,-0.009874265265887416,-0.00047081145982830197
2021-06-30,-0.0017112919035373597,-0.002044710797751037,0.006270214325757806,-0.006800867567237967,-0.0013476647349417448
2021-07-01,-0.002639697229908089,-0.001961275516866312,-0.005653469234263575,-0.002536515989296273,-0.00574348248100387
2021-07-02,0.002691338986766656,0.0018206817329877722,0.00016721003755870711,0.003629800244419279,-0.001240637738735284
2021-07-05,0.007133188273225066,0.006880998673812311,-0.00197703081119327,0.011551379551419938,
2021-07-06,-0.0010167521731027085,-0.0007468771018834808,-0.01040390260699342,0.010426809265903225,0.0021312212754207582
2021-07-07,0.0038816171589777237,0.003892892417849847,0.0029756294665035377,0.005400763886784565,-0.0016348938952673864
2021-07-08,-0.0095562557277451,-0.008403972851061425,0.0004993834683884035,-0.013899440525733109,-0.004892481830715667
2021-07-09,-0.0024224839292732447,-0.0018489486155555124,-0.003019262626526187,-0.005730855757959619,-0.0049113534585875085
2021-07-12,0.00017844744498685117,0.00022252479881257337,-0.0045303435505414935,0.003619610138428042,-0.001738274509159754
2021-07-13,0.007630985495128417,0.006245282345627601,-0.0032454253029541302,0.013480581607897113,0.00530627380168136
