date,mkt_rf,smb,hml,mom,rf
2021-06-07,0.005035851333268941,0.006440829716710826,,,0.00015873015873015873
2021-06-08,-0.0008920362545074588,-0.0038311891819230812,,,0.00015873015873015873
2021-06-09,-0.006813707102942658,0.006988051367258389,,,0.00015873015873015873
2021-06-10,0.006390556757348841,0.010661944643685643,,,0.00015873015873015873
2021-06-11,0.0037554004746194417,0.007040383907614183,,,0.00015873015873015873
2021-06-14,0.0006324416495436413,0.0005508993726269632,,,0.00015873015873015873
2021-06-15,0.0034714833863674415,-0.005216372966398562,,,0.00015873015873015873
2021-06-16,-0.006567362911538258,0.0029788763934164124,,,0.00015873015873015873
2021-06-17,-0.004988232206021058,-0.004490435467495474,,,0.00015873015873015873
2021-06-18,-0.0006717998051339587,-0.019940314692276615,,,0.00015873015873015873
2021-06-21,0.003867858050924442,0.0004951664181679378,,,0.00015873015873015873
2021-06-22,0.0015083069606296412,-0.01011877171290232,,,0.00015873015873015873
2021-06-23,-0.0055984793899992585,-0.0035875079206238937,,,0.00015873015873015873
2021-06-24,0.006439110639599641,-0.006018209353501325,,,0.00015873015873015873
2021-06-25,0.004267958960193742,0.007949578066081656,,,0.00015873015873015873
2021-06-28,-0.0030369399830278586,0.004159515293871799,,,0.00015873015873015873
2021-06-29,-0.0043478705902153586,-0.006393373813237831,,,0.00015873015873015873
2021-06-30,-0.0018700220622674588,-0.0010349997141266254,,,0.00015873015873015873
2021-07-01,-0.002798427388638159,-0.0017099705032024206,,,0.00015873015873015873
2021-07-02,0.002532608828036441,0.0024683017887359004,,,0.00015873015873015873
2021-07-05,0.006974458114494842,0.011423585540890563,,,0.00015873015873015873
2021-07-06,-0.0011754823318328588,-0.0039699739739399754,,,0.00015873015873015873
2021-07-07,0.003722887000247541,0.006649018779033987,,,0.00015873015873015873
2021-07-08,-0.009714985886475258,-0.008109362716562443,,,0.00015873015873015873
2021-07-09,-0.002581214088003359,0.006167244956634656,,,0.00015873015873015873
2021-07-12,1.9717286256641263e-05,-0.004383408248761704,,,0.00015873015873015873
2021-07-13,0.007472255336398241,0.003660946951881981,,,0.00015873015873015873
2021-07-14,0.0024721619582031415,0.005507106517699209,,,0.00015873015873015873
2021-07-15,0.004272342169273641,0.0005709275801400749,,,0.00015873015873015873
2021-07-16,-0.00020895589551386319,0.0019170781405925556,,,0.00015873015873015873
2021-07-19,-0.01089764243909186,-0.0024250685610839122,,,0.00015873015873015873
2021-07-20,-0.007795711080164658,-0.02248231882573297,,,0.00015873015873015873
2021-07-22,0.012120502964719341,0.013084062756284067,,,0.00015873015873015873
2021-07-23,0.0018635081680551415,0.012047730926982258,,,0.00015873015873015873
2021-07-26,-0.002151635690955259,-0.0048707752608777004,,,0.00015873015873015873
2021-07-27,-0.005087811361380958,0.0029679186895623755,,,0.00015873015873015873
2021-07-28,-0.0025116290170727586,0.00306420610850518,,,0.00015873015873015873
2021-07-29,0.0042367147959166416,0.01584162665797027,,,0.00015873015873015873
2021-07-30,-0.0011347696578169588,-0.0012564298615666933,,,0.00015873015873015873
2021-08-02,0.007587269977689541,-0.003943043526439868,,,0.00015873015873015873
2021-08-03,0.015302225723685942,-0.005479283135782744,,,0.00015873015873015873
2021-08-04,0.007779512309072041,0.0082810795359738,,,0.00015873015873015873
2021-08-05,0.002043142372917541,0.004222410297281869,,,0.00015873015873015873
2021-08-06,-0.0036199636602915588,-0.0024637565810605062,,,0.00015873015873015873
2021-08-09,0.0010760005655090412,-0.007257389415089999,,,0.00015873015873015873
2021-08-10,0.0011851788951347413,-0.002355099334882569,,,0.00015873015873015873
2021-08-11,-2.6643090678058726e-05,0.015241188292281289,,,0.00015873015873015873
2021-08-12,0.004886665325616142,0.0057523432526652134,,,0.00015873015873015873
2021-08-13,0.009905752182117141,0.000997977554589463,,,0.00015873015873015873
2021-08-16,0.0018952941182935415,0.006302286132149538,,,0.00015873015873015873
2021-08-17,0.0029535484187981414,-0.029244709676718543,,,0.00015873015873015873
2021-08-18,-0.0029123324769096586,-0.009609250045278713,,,0.00015873015873015873
2021-08-20,-0.007301628559355059,-0.03281616761095902,,,0.00015873015873015873
2021-08-23,0.0026344505196685417,0.0019522345491575816,,,0.00015873015873015873
2021-08-24,0.007609631924871542,0.006052510806691207,,,0.00015873015873015873
2021-08-25,0.0004458426722649413,0.006425213932617536,,,0.00015873015873015873
2021-08-26,-2.3470327765058737e-05,-0.007788333122244075,,,0.00015873015873015873
2021-08-27,0.003946531429749841,0.0013376853325271255,,,0.00015873015873015873
2021-08-30,0.013361106362973942,0.005817231859223126,,,0.00015873015873015873
2021-08-31,0.011721716016693142,-0.009077892011131575,,,0.00015873015873015873
2021-09-01,-0.0034244649330938586,-0.005154847943947624,,,0.00015873015873015873
2021-09-02,0.009088053568668842,-0.004237809066967876,,,0.00015873015873015873
2021-09-03,0.005031500674967042,0.0022361507769521555,,,0.00015873015873015873
2021-09-06,0.0029700175090275416,-0.0011576134389510253,,,0.00015873015873015873
2021-09-07,-0.0010622490833998588,-0.0031165743007939193,,,0.00015873015873015873
2021-09-08,-0.0006540394570569587,0.01316139967718063,,,0.00015873015873015873
2021-09-09,0.0007488677321852413,0.006999277352301174,,,0.00015873015873015873
2021-09-13,-0.0009618286661498588,0.006629851057516362,,,0.00015873015873015873
2021-09-14,0.0012644211344288413,-0.002147317801224752,,,0.00015873015873015873
2021-09-15,0.007864815223893441,0.013976155201841431,,,0.00015873015873015873
2021-09-16,0.006122904604777041,0.009655807636126532,,,0.00015873015873015873
2021-09-17,-0.002674377759342759,-0.005235566669701663,,,0.00015873015873015873
2021-09-20,-0.010863785038463159,-0.02090218028395165,,,0.00015873015873015873
2021-09-21,0.009331443703733741,0.010974051235422099,,,0.00015873015873015873
2021-09-22,-0.0010327541522957588,0.006976229399468462,,,0.00015873015873015873
2021-09-23,0.015587798208451643,0.004667581128936555,,,0.00015873015873015873
2021-09-24,0.0015385198097642412,-0.008956401451982048,,,0.00015873015873015873
2021-09-27,-5.2284775932758736e-05,0.0027698120441207617,,,0.00015873015873015873
2021-09-28,-0.0061234126488843585,0.015465622532125238,,,0.00015873015873015873
2021-09-29,-0.0022602383873172585,0.028675810933153606,,,0.00015873015873015873
2021-09-30,-0.005418106179468959,-0.0010559703661715937,,,0.00015873015873015873
2021-10-01,-0.005045713608525958,0.0059201015528664615,,,0.00015873015873015873
2021-10-04,0.00892173742240734,0.008765496115122201,,,0.00015873015873015873
2021-10-05,0.007248930761216041,0.01240263540033167,,,0.00015873015873015873
2021-10-06,-0.010050875029019659,-0.002880876563775201,,,0.00015873015873015873
2021-10-07,0.008021571857307341,-0.01389960306758452,,,0.00015873015873015873
2021-10-08,0.005734892601766241,0.0022579945665285065,,,0.00015873015873015873
2021-10-11,0.002677225975629441,0.01853962257852288,,,0.00015873015873015873
2021-10-12,0.002404522385857341,-0.001362479481712163,,,0.00015873015873015873
2021-10-13,0.00927886769048144,0.015115941033764175,,,0.00015873015873015873
2021-10-14,0.009576057581988541,0.005707621229053675,,,0.00015873015873015873
2021-10-18,0.007393665973989741,0.029747896237949746,,,0.00015873015873015873
2021-10-19,-0.003314037893726459,-0.007561278532372836,,,0.00015873015873015873
2021-10-20,-0.008419355370810159,0.005813905702583213,,,0.00015873015873015873
2021-10-21,-0.005003638455432359,0.0029187578294620235,,,0.00015873015873015873
2021-10-22,-0.0036353982432974583,-0.00979576432203396,,,0.00015873015873015873
2021-10-25,0.0004209031692803413,0.004359229959282429,,,0.00015873015873015873
2021-10-26,0.007730750730969842,0.0025523784346769517,,,0.00015873015873015873
2021-10-27,-0.0033035688225729583,-0.010769281956026156,,,0.00015873015873015873
2021-10-28,-0.01958106858279376,-0.028653670727534056,,,0.00015873015873015873
2021-10-29,-0.010552245922635558,-0.009052487047454358,,,0.00015873015873015873
2021-11-01,0.014440924898777642,0.008395251923184206,,,0.00015873015873015873
2021-11-02,-0.002428778430071759,-0.0029064696297320643,,,0.00015873015873015873
2021-11-03,-0.003498781006287659,-0.004171610654011199,,,0.00015873015873015873
2021-11-04,0.004754646007254541,-0.003587876666901502,,,0.00015873015873015873
2021-11-08,0.00831097388345614,0.004611766363877612,,,0.00015873015873015873
2021-11-09,-0.0015036515940018587,-0.0027534719811383875,,,0.00015873015873015873
2021-11-10,-0.0016578659637649588,-0.005781324990813403,,,0.00015873015873015873
2021-11-11,-0.008128870669002159,0.003107307959811699,,,0.00015873015873015873
2021-11-12,0.012661876525600142,0.002196653686720588,,,0.00015873015873015873
2021-11-15,0.00021133619859114126,-0.00988266455513306,,,0.00015873015873015873
2021-11-16,-0.006246712110486559,-0.006054298499396633,,,0.00015873015873015873
2021-11-17,-0.005745024687892159,-0.0020501062390099055,,,0.00015873015873015873
2021-11-18,-0.007636925802190959,-0.004761139207562548,,,0.00015873015873015873
2021-11-22,-0.01976210225888696,0.0033293399478658125,,,0.00015873015873015873
2021-11-23,0.004824967774068641,0.016831608330574892,,,0.00015873015873015873
2021-11-24,-0.005203411896544758,0.010207971176550193,,,0.00015873015873015873
2021-11-25,0.006800722344301842,0.0038916685415829265,,,0.00015873015873015873
2021-11-26,-0.02922998434648406,-0.020061973381208346,,,0.00015873015873015873
2021-11-29,0.0014564040155587413,-0.005458869268032213,,,0.00015873015873015873
2021-11-30,-0.004307329353702158,-0.008938166630019262,,0.01365620698512192,0.00015873015873015873
2021-12-01,0.010657911011691142,0.013062620155818501,,-0.0002495843164720818,0.00015873015873015873
2021-12-02,0.013515840943703542,0.001162998608580764,,-0.0030854150328891786,0.00015873015873015873
2021-12-03,-0.011936416026124358,0.001817397892886912,,-0.005581273383238279,0.00015873015873015873
2021-12-06,-0.01669964973472976,0.005813050368532014,,-0.007523531647477585,0.00015873015873015873
2021-12-07,0.01547781842291924,0.012375781847027312,-0.0006596728960845885,-0.0030303011521061705,0.00015873015873015873
2021-12-08,0.01690221836915144,-0.0050719770809679945,-0.001820853947363487,0.0015462141567498845,0.00015873015873015873
2021-12-09,0.002537336434953041,-0.001482905472304338,0.0022692950705611,-0.0077808576176212505,0.00015873015873015873
2021-12-10,-0.0004755010535392587,-0.0013990613480538247,0.0003203730790938879,-0.00228623421639062,0.00015873015873015873
2021-12-13,-0.008327785275593259,0.0017118561797915943,-0.006785919682969638,0.006729976319071071,0.00015873015873015873
2021-12-14,-0.002654641340052259,-0.001107821847603975,-0.0017701888445039943,-0.0025112242585818598,0.00015873015873015873
2021-12-15,-0.006132790480370258,-0.005522880588056887,0.004719261605815712,-0.003747026709771239,0.00015873015873015873
2021-12-16,0.0014090865917995412,0.0004296682894715312,-0.007029978894241281,0.00646027700761615,0.00015873015873015873
2021-12-17,-0.015418184132100159,0.001836553380836159,-0.0073655688592286755,-0.009799473065935788,0.00015873015873015873
2021-12-20,-0.02200127643810796,-0.01392262269812039,-0.002977578223309279,-0.004450700653412829,0.00015873015873015873
2021-12-21,0.009269975285478842,0.0018485057878889315,-0.01049758234394083,0.0095201790547789,0.00015873015873015873
2021-12-22,0.010848440835863142,0.0036307510656646627,-0.005671073714722619,0.0038538470124894406,0.00015873015873015873
